County,Population,Households,Poverty_Perc,Sales_Tax,Businesses,Total_crimes,Marijuana_DrugArrests,Total_DrugArrests,Total_CannBus,Sales_Tax_std,Businesses_std,Total_crimes_std,Marijuana_DrugArrests_std,Total_DrugArrests_std,Total_CannBus_std,COUNTY_NAM
Aitkin,15697.0,7199.0,0.12180671465885201,9470509.0,481.0,242.0,26.0,86.0,20.0,603.332420207683,0.030642797986876472,0.015416958654519973,0.0016563674587500795,0.005478753902019494,0.0012741288144231381,Aitkin
Anoka,363887.0,133879.0,0.055704105944977426,267942597.0,7297.0,6642.0,162.0,543.0,223.0,736.3346231110207,0.020052928519018267,0.018252919175458314,0.00044519315062093454,0.0014922214863405398,0.0006128276085707925,Anoka
Becker,35183.0,14371.0,0.10198107040331979,27972843.0,967.0,451.0,17.0,53.0,34.0,795.0670210044624,0.02748486484950118,0.012818690845010375,0.0004831879032487281,0.0015064093454225053,0.0009663758064974562,Becker
Beltrami,46228.0,17678.0,0.17666782036860776,45388132.0,1169.0,1659.0,33.0,165.0,39.0,981.8320498399239,0.02528770442156269,0.03588734100545124,0.0007138530760578004,0.0035692653802890024,0.000843644544431946,Beltrami
Benton,41379.0,16479.0,0.08112810846081346,35083441.0,924.0,510.0,18.0,33.0,25.0,847.8561830880399,0.02233016747625607,0.012325092438193287,0.00043500326252446896,0.0007975059812948597,0.0006041711979506513,Benton
Big Stone,5166.0,2224.0,0.11536972512582269,1870009.0,200.0,60.0,11.0,14.0,2.0,361.9839334107627,0.03871467286101433,0.011614401858304297,0.002129307007355788,0.0027100271002710027,0.00038714672861014324,Big Stone
Blue Earth,69112.0,27193.0,0.1520719990739669,72096636.0,1855.0,1501.0,144.0,299.0,70.0,1043.1854960064823,0.026840490797546013,0.021718370181733997,0.0020835744877879384,0.004326310915615233,0.0010128487093413589,Blue Earth
Brown,25912.0,10970.0,0.06510497066995986,20496853.0,783.0,216.0,14.0,29.0,13.0,791.0177909848719,0.030217659771534424,0.008335906143871565,0.0005402902130287125,0.0011191725841309045,0.0005016980549552331,Brown
Carlton,36207.0,13789.0,0.10155494793824399,18079168.0,770.0,442.0,7.0,50.0,47.0,499.327975253404,0.02126660590493551,0.012207584168807137,0.0001933327809539592,0.0013809484353854227,0.0012980915292622973,Carlton
Carver,106922.0,38863.0,0.032509679953611044,64015138.0,2428.0,875.0,112.0,246.0,70.0,598.708759656572,0.0227081423841679,0.00818353566151026,0.0010474925646733132,0.0023007425974074557,0.0006546828529208207,Carver
